"nuts_id","nuts_name","x","y"
"AT","ÖSTERREICH",4630442.78680805,2728700.87370803
"BE","BELGIQUE-BELGIË",3944332.60659486,3072396.987612
"BG","????????",5561830.87454336,2309904.63249768
"CY","??????",6427258.08864508,1654242.03595645
"CZ","CESKÁ REPUBLIKA",4705046.54618507,2972784.29382805
"CH","SCHWEIZ/SUISSE/SVIZZERA",4185610.2253114,2632984.42448301
"DE","DEUTSCHLAND",4346662.03151199,3103285.36263265
"DK","DANMARK",4321380.03772503,3653525.00729283
"ES","ESPAÑA",3175904.64286143,2021143.46096281
"EL","??????",5437596.24071563,1873007.66639607
"EE","EESTI",5218777.52470366,4050399.69399882
"FR","FRANCE",3752402.02964183,2628790.6944382
"FI","SUOMI / FINLAND",5100906.0847874,4663631.64084463
"IS","ÍSLAND",3007331.15000403,4928630.74838999
"IT","ITALIA",4502547.73107671,2182517.63474034
"HU","MAGYARORSZÁG",5031622.14439955,2718003.50207766
"IE","IRELAND",3121431.20642909,3490859.97493164
"HR","HRVATSKA",4826874.62037928,2464805.2976646
"NO","NORGE",4438455.49432129,4543310.93305727
"ME","???? ????",5078908.61243595,2232366.25439227
"MT","MALTA",4722797.91738062,1439605.52494209
"NL","NEDERLAND",4019077.99081879,3246823.01379676
"MK","????????? ????????????? ????????? ??????????",5295822.03550689,2130872.43563684
"LU","LUXEMBOURG",4040226.38356039,2969717.60309987
"LI","LIECHTENSTEIN",4286860.66939669,2669295.12453961
"LT","LIETUVA",5197938.70691699,3666107.04771375
"LV","LATVIJA",5224691.36082799,3845468.83712341
"PL","POLSKA",4965206.1520329,3263626.78558731
"SE","SVERIGE",4646092.66930899,4380263.52240481
"RO","ROMÂNIA",5478114.60028174,2642141.37907395
"PT","PORTUGAL",2786904.3946361,2023749.20163366
"TR","TÜRKIYE",6464018.58424863,2145188.58498705
"SK","SLOVENSKO",5015543.14435116,2889044.74176593
"SI","SLOVENIJA",4693228.16137116,2568716.32955785
"UK","UNITED KINGDOM",3488821.93369639,3509833.60389233
